program	description	title	author	real_name	source_url	kind	section	tags	collection	series
adventure/for-kicks-iii.txt	adventure/for-kicks-iii.md	For Kicks-III	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk93.html	game	adventure	classic	lordbss	for-kicks
adventure/freddi-kryuger.txt	adventure/freddi-kryuger.md	freddi kryuger	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk27.html	game	adventure	classic;horror	lordbss	
adventure/giants-country.txt	adventure/giants-country.md	Giants Country	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk198.html	game	adventure	classic	lordbss	
adventure/indiana-jones-i-dolgushin-notebook.txt	adventure/indiana-jones-i-dolgushin-notebook.md	INDIANA JONES I	Александр Долгушин		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (69).jpg; Рисунок (70).jpg; Рисунок (71).jpg; Рисунок (97).jpg: указание авторства	game	adventure	manuscript	dolgushin-notebook	
adventure/klad-2.txt	adventure/klad-2.md	Клад			https://xvadim.github.io/xbasoft/pmk/klad-2.zip	game	adventure			
adventure/kladoiskatel.txt	adventure/kladoiskatel.md	kladoiskatel	Сергей Чурсанов, Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk190.html	game	adventure	classic	lordbss	
adventure/korotkoe-zamykanie.txt	adventure/korotkoe-zamykanie.md	korotkoe zamykanie	Анатолий Кондратьев	Евгений Кузниченко	https://lordbss.narod.ru/pmk05.html	game	adventure	classic	lordbss	
adventure/kosmicheskaya-odisseya.txt	adventure/kosmicheskaya-odisseya.md	kosmicheskaya odisseya	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk25.html	game	adventure	classic;space	lordbss	
adventure/kubok-klarensa.txt	adventure/kubok-klarensa.md	kubok klarensa	Сергей Шкуратов	Евгений Кузниченко	https://lordbss.narod.ru/pmk97.html	game	adventure	classic	lordbss	
adventure/labirint-8-13.txt	adventure/labirint-8-13.md	labirint 8*13	А. Н. Гришин		https://lordbss.narod.ru/pmk221.html	game	adventure	classic	lordbss	
adventure/labirint.txt	adventure/labirint.md	labirint	С. Гета		https://lordbss.narod.ru/pmk220.html	game	adventure	classic	lordbss	
adventure/labyrinth777.txt	adventure/labyrinth777.md	Лабиринт777			https://sergeanvarov.github.io/russian/mk61/games/%D0%BB%D0%B0%D0%B1%D0%B8%D1%80%D0%B8%D0%BD%D1%82777/%D0%BB%D0%B0%D0%B1%D0%B8%D1%80%D0%B8%D0%BD%D1%82777.html	game	adventure		anvarov	
adventure/lamer-andrew-meets-america.txt	adventure/lamer-andrew-meets-america.md	Lamer Andrew Meets America	illi4		https://habr.com/ru/articles/125484/	game	adventure			
adventure/m-skiy-treugolnik.txt	adventure/m-skiy-treugolnik.md	m-skiy treugolnik	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk68.html	game	adventure	classic	lordbss	
adventure/myortvaya-zona-i.txt	adventure/myortvaya-zona-i.md	myortvaya zona-I	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk61.html	game	adventure	classic	lordbss	dead-zone
adventure/myortvaya-zona-ii.txt	adventure/myortvaya-zona-ii.md	myortvaya zona-II	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk62.html	game	adventure	classic	lordbss	dead-zone
adventure/myortvaya-zona-iii.txt	adventure/myortvaya-zona-iii.md	myortvaya zona-III	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk63.html	game	adventure	classic	lordbss	dead-zone
adventure/nekromant.txt	adventure/nekromant.md	nekromant			https://sergeanvarov.github.io/russian/mk61/games/%D0%BD%D0%B5%D0%BA%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82/%D0%BD%D0%B5%D0%BA%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82.html	game	adventure	fantasy	anvarov	
adventure/oborotni.txt	adventure/oborotni.md	oborotni	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk46.html	game	adventure	classic;horror	lordbss	
adventure/oregon-2.txt	adventure/oregon-2.md	oregon-2	Иван, Василий	Евгений Кузниченко	https://lordbss.narod.ru/pmk142.html	game	adventure	classic	lordbss	
